Solar,Ultra,Lidar,Temp
183.00,20.36,233.00,173
182.00,20.36,231.00,175
183.00,20.32,232.00,175
183.00,20.32,232.00,175
183.00,20.32,232.00,175
181.00,20.32,231.00,175
183.00,20.36,231.00,175
183.00,20.36,231.00,174
183.00,20.36,231.00,175
182.00,20.41,231.00,175
182.00,20.41,232.00,175
183.00,20.41,232.00,175
183.00,20.41,232.00,175
182.00,20.41,233.00,175
182.00,20.45,232.00,174
183.00,20.41,232.00,175
182.00,20.41,231.00,175
183.00,20.36,234.00,176
182.00,20.36,231.00,175
183.00,20.36,231.00,175
182.00,20.36,232.00,175
182.00,20.36,231.00,175
183.00,20.36,232.00,176
183.00,20.36,231.00,175
183.00,20.36,231.00,175
182.00,20.36,232.00,175
183.00,20.41,233.00,175
183.00,20.41,233.00,175
183.00,20.36,231.00,175
182.00,20.41,233.00,175
183.00,20.36,232.00,175
181.00,20.36,232.00,175
181.00,20.36,231.00,176
182.00,20.32,232.00,175
183.00,20.32,231.00,175
183.00,20.32,232.00,175
183.00,20.32,232.00,175
183.00,20.32,231.00,174
183.00,20.36,231.00,174
183.00,20.36,232.00,173
183.00,20.36,231.00,174
184.00,20.36,232.00,175
183.00,20.36,232.00,175
184.00,20.36,233.00,174
183.00,20.36,231.00,174
183.00,20.36,231.00,175
184.00,20.36,231.00,175
183.00,20.36,233.00,175
183.00,20.41,233.00,174
183.00,20.36,232.00,174
183.00,20.36,233.00,175
183.00,20.36,232.00,174
183.00,20.41,231.00,174
184.00,20.41,231.00,173
182.00,20.36,231.00,174
182.00,20.41,231.00,174
183.00,20.41,231.00,174
182.00,20.41,231.00,174
181.00,20.41,232.00,174
182.00,20.41,232.00,174
181.00,20.41,232.00,174
182.00,20.41,232.00,173
181.00,20.45,232.00,174
181.00,20.41,232.00,174
182.00,20.45,231.00,174
182.00,20.45,231.00,173
181.00,20.45,231.00,173
182.00,20.45,232.00,174
182.00,20.41,232.00,174
182.00,20.36,231.00,174
182.00,20.36,231.00,173
181.00,20.36,233.00,174
181.00,20.36,231.00,174
181.00,20.36,231.00,174
182.00,20.36,231.00,173
181.00,20.36,231.00,173
182.00,20.32,233.00,174
182.00,20.32,233.00,174
182.00,20.32,231.00,174
182.00,20.32,231.00,174
181.00,20.32,231.00,174
181.00,20.32,233.00,174
182.00,20.32,232.00,174
182.00,20.32,233.00,174
183.00,20.32,232.00,174
183.00,20.32,232.00,174
181.00,20.36,231.00,174
182.00,20.32,232.00,174
181.00,20.36,233.00,173
182.00,20.36,232.00,174
182.00,20.36,231.00,174
181.00,20.32,231.00,174
181.00,20.32,232.00,173
181.00,20.32,231.00,174
182.00,20.27,232.00,174
182.00,20.27,233.00,174
181.00,20.32,232.00,174
182.00,20.32,232.00,174
182.00,20.32,232.00,174
182.00,20.32,232.00,174
183.00,20.32,232.00,174
183.00,20.32,232.00,173
183.00,20.27,231.00,174
182.00,20.23,232.00,174
182.00,20.23,232.00,174
182.00,20.19,232.00,174
183.00,20.23,232.00,174
183.00,20.19,231.00,174
182.00,20.19,232.00,174
184.00,20.23,232.00,174
184.00,20.23,233.00,174
183.00,20.19,232.00,174
184.00,20.23,232.00,174
184.00,20.23,231.00,174
183.00,20.19,232.00,174
183.00,20.19,231.00,174
183.00,20.23,233.00,174
183.00,20.23,232.00,174
183.00,20.23,231.00,174
184.00,20.27,231.00,174
184.00,20.27,231.00,174
184.00,20.27,231.00,174
184.00,20.27,232.00,173
184.00,20.27,231.00,174
184.00,20.23,231.00,174
184.00,20.27,231.00,174
183.00,20.27,232.00,174
184.00,20.23,231.00,174
183.00,20.23,233.00,174
183.00,20.23,232.00,174
183.00,20.23,231.00,174
184.00,20.23,232.00,174
183.00,20.23,231.00,174
183.00,20.23,232.00,174
184.00,20.23,231.00,174
184.00,20.23,233.00,174
183.00,20.27,232.00,174
184.00,20.27,231.00,174
184.00,20.27,232.00,174
184.00,20.27,232.00,174
183.00,20.27,232.00,174
183.00,20.27,233.00,174
183.00,20.27,232.00,174
184.00,20.27,232.00,174
183.00,20.27,232.00,174
184.00,20.23,232.00,174
184.00,20.23,232.00,174
184.00,20.27,231.00,173
183.00,20.27,232.00,174
181.00,20.32,231.00,174
182.00,20.32,232.00,174
183.00,20.32,232.00,174
182.00,20.27,232.00,174
183.00,20.27,232.00,174
183.00,20.27,233.00,175
183.00,20.27,232.00,174
183.00,20.27,231.00,174
182.00,20.27,231.00,174
184.00,20.32,232.00,174
184.00,20.32,231.00,174
